Time (s),Voltage (V)
60.08,-146.06
60.28,-143.83
60.49,-142.15
60.69,-141.04
60.89,-139.92
61.09,-139.08
61.29,-138.81
61.49,-137.41
61.69,-136.85
61.89,-136.57
62.09,-136.3
62.29,-135.74
62.5,-135.18
62.7,-134.62
62.9,-134.34
63.1,-134.06
63.3,-133.51
63.5,-132.95
63.7,-132.95
63.9,-131.83
64.1,-131.83
64.3,-131.55
64.5,-131.83
64.71,-131
64.91,-131.27
65.11,-130.44
65.31,-130.44
65.51,-130.16
65.71,-129.88
65.91,-129.88
66.11,-129.32
66.31,-129.04
66.51,-128.76
66.72,-128.21
66.92,-127.93
67.12,-127.93
67.32,-127.65
67.52,-127.65
67.72,-127.65
67.92,-127.09
68.12,-127.37
68.32,-126.81
68.53,-126.81
68.73,-126.25
68.93,-126.53
69.13,-126.25
69.33,-125.97
69.53,-125.7
69.73,-125.42
69.93,-124.86
70.13,-125.14
70.33,-124.58
70.54,-124.86
70.74,-124.3
70.94,-124.3
71.14,-124.3
71.34,-124.3
71.54,-123.74
71.74,-123.74
71.94,-123.46
72.14,-123.19
72.34,-123.46
72.55,-123.46
72.75,-123.19
72.95,-122.91
73.15,-122.35
73.35,-122.35
73.55,-122.07
73.75,-122.35
73.95,-121.79
74.15,-121.79
74.35,-121.51
74.56,-121.79
74.76,-121.79
74.96,-121.79
75.16,-120.95
75.36,-121.23
75.56,-120.95
75.76,-120.95
75.96,-120.4
76.16,-120.67
76.36,-120.4
76.57,-120.12
76.77,-119.56
76.97,-119.84
77.17,-119.84
77.37,-119.84
77.57,-119.84
77.77,-119.56
77.97,-119.28
78.17,-119.56
78.37,-119.28
78.58,-119
78.78,-119
78.98,-118.44
79.18,-118.44
79.38,-118.44
79.58,-117.89
79.78,-118.16
79.98,-118.16
80.18,-117.89
80.38,-117.61
80.59,-117.61
80.79,-117.61
80.99,-117.33
81.19,-117.61
81.39,-117.05
81.59,-117.05
81.79,-117.05
81.99,-116.77
82.19,-117.05
82.39,-116.49
82.6,-117.05
82.8,-116.49
83,-116.77
83.2,-116.21
83.4,-115.93
83.6,-115.93
83.8,-115.93
84,-115.65
84.2,-115.65
84.4,-115.93
84.61,-115.65
84.81,-115.38
85.01,-115.65
85.21,-115.65
85.41,-115.1
