Time (s),Voltage (V)
0,-4.14
0.1,-4.14
0.2,-4.42
0.3,-3.87
0.4,-3.87
0.5,-3.87
0.61,-3.59
0.7,-4.14
0.81,-4.14
0.91,-3.87
1.01,-3.87
1.11,-4.14
1.21,-3.87
1.31,-3.87
1.41,-3.87
1.51,-3.59
1.61,-4.14
1.71,-3.87
1.82,-4.14
1.91,-3.87
2.02,-4.14
2.12,-4.14
2.22,-3.87
2.32,-4.14
2.42,-4.42
2.52,-3.87
2.62,-4.14
2.72,-3.87
2.82,-4.14
2.93,-4.14
3.03,-4.14
3.13,-4.14
3.23,-3.87
3.33,-4.14
3.43,-4.14
3.53,-4.14
3.63,-4.14
3.73,-3.59
3.83,-3.87
3.93,-3.59
4.03,-4.14
4.14,-4.14
4.24,-4.14
4.34,-4.14
4.44,-3.87
4.54,-4.14
4.64,-4.14
4.74,-3.59
4.84,-3.87
4.94,-3.59
5.04,-3.59
5.14,-3.87
5.24,-4.14
5.35,-4.42
5.45,-3.87
5.55,-4.14
5.65,-3.87
5.75,-3.87
5.85,-3.87
5.95,-3.87
6.05,-4.42
6.15,-3.87
6.25,-3.59
6.35,-3.87
6.46,-3.87
6.56,-3.59
6.66,-3.87
6.76,-3.87
6.86,-3.59
6.96,-3.87
7.06,-4.14
7.16,-3.87
7.26,-3.59
7.36,-3.59
7.46,-3.59
7.57,-4.14
7.67,-3.87
7.77,-4.14
7.87,-3.87
7.97,-3.87
8.07,-3.87
8.17,-4.14
8.27,-4.14
8.37,-4.14
8.47,-4.14
8.57,-4.14
8.68,-3.59
8.77,-3.87
8.88,-4.14
8.98,-3.87
9.08,-3.59
9.18,-4.14
9.28,-4.14
9.38,-4.14
9.48,-3.87
9.58,-3.87
9.68,-3.87
9.78,-4.42
9.89,-4.14
9.99,-4.14
10.09,-4.42
10.19,-3.59
10.29,-3.87
10.39,-3.31
10.49,-3.87
10.59,-3.87
10.69,-3.59
10.79,-4.42
10.9,-3.87
11,-4.14
11.1,-4.42
11.2,-3.87
