Time (s),Voltage (V)
0.0,-43.67
0.1,-43.4
0.2,-43.67
0.3,-43.67
0.4,-43.67
0.5,-43.4
0.61,-43.4
0.7,-43.12
0.81,-43.4
0.91,-43.67
1.11,-43.4
1.21,-43.67
1.31,-43.67
1.41,-43.67
1.51,-43.67
1.61,-43.67
1.72,-43.67
1.82,-43.95
1.92,-43.67
2.02,-43.67
2.12,-43.95
2.22,-43.67
2.42,-43.95
2.52,-43.67
2.62,-43.4
2.72,-43.95
2.83,-43.67
2.93,-43.67
3.03,-43.67
3.13,-43.4
3.23,-43.4
3.33,-43.4
3.43,-43.67
3.53,-43.67
3.73,-43.67
3.83,-43.4
3.94,-43.4
4.04,-43.95
4.14,-43.67
4.24,-43.4
4.34,-43.67
4.44,-43.4
4.54,-43.4
4.64,-43.4
4.74,-43.4
4.84,-43.67
5.05,-43.67
5.15,-43.95
5.25,-43.67
5.35,-43.95
5.45,-43.12
5.55,-43.67
5.65,-43.4
5.75,-43.67
5.85,-43.67
5.95,-43.67
6.05,-43.4
6.16,-43.95
6.36,-41.45
6.46,-3.03
6.56,-69.01
6.66,-70.68
6.76,-70.12
6.86,-69.56
6.96,-69.28
7.06,-69.01
7.16,-68.73
7.27,-69.01
7.37,-68.45
7.47,-68.45
7.67,-68.45
7.77,-68.17
7.87,-68.45
7.97,-67.89
8.07,-68.17
8.17,-67.89
8.27,-67.61
8.38,-67.89
8.48,-67.89
8.58,-67.61
8.68,-67.61
8.78,-67.61
8.88,-67.61
9.08,-67.61
9.18,-67.34
9.28,-67.34
9.38,-67.06
9.49,-67.34
9.59,-67.34
9.69,-66.78
9.79,-66.5
9.89,-66.78
9.99,-67.06
10.09,-67.06
10.19,-67.06
10.39,-66.78
10.49,-67.06
10.6,-67.06
10.7,-67.06
10.8,-66.78
10.9,-66.78
11.0,-67.06
11.1,-66.78
11.2,-66.78
11.3,-66.5
11.4,-66.22
11.5,-66.5
11.71,-65.94
11.81,-65.67
11.91,-66.22
12.01,-66.78
12.11,-66.22
12.21,-65.94
12.31,-66.5
12.41,-66.5
12.51,-65.94
12.61,-65.94
12.72,-66.5
12.82,-65.67
13.02,-66.22
13.12,-66.22
13.22,-66.5
13.32,-66.22
13.42,-65.67
13.52,-65.67
13.63,-65.67
13.73,-65.67
13.83,-65.94
13.93,-65.94
14.03,-65.94
14.13,-65.94
14.23,-65.67
14.43,-65.67
14.53,-65.67
14.64,-65.67
14.74,-65.39
14.84,-65.67
14.94,-65.67
15.04,-65.39
15.14,-65.39
15.24,-65.39
15.34,-65.67
15.44,-65.39
15.64,-65.39
15.75,-65.39
15.85,-65.39
15.95,-65.39
16.05,-65.11
16.15,-65.39
16.25,-65.39
16.35,-65.39
16.45,-65.67
16.55,-65.11
16.65,-64.83
16.75,-65.39
16.86,-65.39
17.06,-64.83
17.16,-64.83
17.26,-65.11
17.36,-65.11
17.46,-64.83
17.56,-65.39
